human	occupation
603	28640
603	192581
603	211236
603	327055
603	482980
603	483501
603	702269
603	947873
603	1885941
603	1930187
603	2500638
603	2722764
603	6958747
603	13590141
603	15980804
603	16961937
603	24229398
603	44508716
603	94498772
605	28640
605	36180
605	192581
605	327055
605	482980
605	483501
605	702269
605	1086863
605	1642960
605	1930187
605	2500638
605	6051619
605	6958747
605	8246794
605	15980804
605	24229398
607	33999
607	36180
607	43845
607	82955
607	215536
607	254651
607	327055
607	373021
607	482980
607	483501
607	702269
607	978044
607	1162163
607	1251441
607	1415187
607	2095549
607	2462658
607	2500638
607	3704253
607	23640580
607	24229398
607	25713832
609	82955
609	327055
609	702269
609	24229398
615	937857
615	2066131
615	4197743
615	18536342
615	24229398
615	50995749
619	901
619	11063
619	36180
619	39631
619	43229
619	169470
619	170790
619	185351
619	188094
619	193391
619	212238
619	327055
619	333634
619	482980
619	483501
619	572700
619	702269
619	703534
619	978044
619	1162163
619	1251441
619	1650915
619	1790480
619	2169973
619	2462658
619	2500638
619	4287745
619	4830453
619	4964182
619	11974939
619	14467526
619	15319501
619	16012028
619	16532929
619	16727193
619	20826540
619	24229398
619	25713832
619	30102337
619	80363469
624	28640
624	192581
624	327055
624	482980
624	483501
624	702269
624	937857
624	1930187
624	2066131
624	2500638
624	4197743
624	6958747
624	15980804
624	18536342
624	24229398
624	50995749
632	47064
632	212238
632	212948
632	327055
632	572700
632	599151
632	702269
632	703534
632	978044
632	1125062
632	1162163
632	1250916
632	1251441
632	1397808
632	1414937
632	2462658
632	3242115
632	4991371
632	11499147
632	15253558
632	16532929
632	23833535
632	24229398
632	25713832
632	80363469
633	33999
633	36180
633	36834
633	43845
633	131524
633	177220
633	183945
633	327055
633	482980
633	483501
633	486748
633	488205
633	639669
633	702269
633	753110
633	855091
633	864380
633	978044
633	1075651
633	1251441
633	1278335
633	2462658
633	2500638
633	2526255
633	2643890
633	3455803
633	10800557
633	13235160
633	15980158
633	18814623
633	24229398
633	25713832
635	82955
635	327055
635	702269
635	1097498
635	1251441
635	2304859
635	4164871
635	24229398
636	33999
636	36834
636	43845
636	131524
636	177220
636	183945
636	327055
636	482980
636	483501
636	488205
636	639669
636	702269
636	753110
636	2500638
636	2643890
636	13235160
636	24229398
636	55960555
640	901
640	28640
640	33231
640	82594
640	192581
640	327055
640	483501
640	702269
640	1650915
640	2500638
640	3391743
640	5157565
640	6958747
640	20826540
640	24229398
651	28389
651	28640
651	36180
651	37226
651	43845
651	49757
651	82955
651	192581
651	201788
651	214917
651	327055
651	482980
651	483501
651	702269
651	974144
651	1622272
651	1650915
651	1792450
651	2500638
651	3400985
651	4164507
651	4359236
651	4964182
651	5428874
651	6430706
651	6625963
651	6958747
651	15980158
651	16727193
651	17167049
651	18931911
651	20020377
651	20826540
651	24229398
675	901
675	81096
675	169470
675	170790
675	327055
675	483501
675	702269
675	1650915
675	2500638
675	4964182
675	16727193
675	20826540
675	24229398
680	901
680	28640
680	37226
680	43845
680	81096
680	121594
680	169470
680	192581
680	205375
680	327055
680	483501
680	593644
680	601401
680	702269
680	974144
680	1622272
680	1650915
680	2500638
680	3400985
680	4359236
680	5428874
680	6958747
680	20826540
680	24229398
687	28389
687	28640
687	33999
687	36180
687	49757
687	192581
687	214917
687	245068
687	327055
687	482980
687	483501
687	487596
687	702269
687	713200
687	978044
687	1251441
687	2259451
687	2462658
687	2500638
687	3387717
687	3455803
687	6430706
687	6958747
687	15839299
687	15980158
687	24229398
687	25713832
692	28389
692	33999
692	36180
692	49757
692	214917
692	327055
692	482980
692	483501
692	487596
692	702269
692	713200
692	2259451
692	2500638
692	24229398
714	36180
714	36834
714	43845
714	49757
714	131524
714	177220
714	183945
714	327055
714	386854
714	482980
714	483501
714	486748
714	488205
714	639669
714	702269
714	753110
714	1075651
714	1278335
714	1643514
714	2500638
714	2643890
714	4351403
714	13235160
714	24229398
714	55960555
720	28640
720	47064
720	82955
720	189290
720	192581
720	327055
720	702269
720	703534
720	1097498
720	1250916
720	1251441
720	1402561
720	1414937
720	4164871
720	6958747
720	24229398
720	61022630
742	28389
742	36180
742	49757
742	201788
742	214917
742	327055
742	333634
742	482980
742	483501
742	702269
742	1650915
742	1790480
742	2500638
742	8178443
742	14467526
742	15980158
742	16727193
742	20826540
742	24229398
742	30102337
747	28389
747	36180
747	49757
747	185351
747	214917
747	327055
747	333634
747	482980
747	483501
747	702269
747	1650915
747	1790480
747	2500638
747	14467526
747	16727193
747	20826540
747	24229398
747	30102337
755	28389
755	36180
755	49757
755	214917
755	327055
755	482980
755	483501
755	702269
755	2500638
755	8178443
755	11774202
755	15980158
755	24229398
762	901
762	11063
762	18805
762	36180
762	36834
762	39631
762	42973
762	43229
762	49757
762	58968
762	81096
762	169470
762	170790
762	193391
762	205375
762	212238
762	255274
762	327055
762	350979
762	482980
762	483501
762	572700
762	593644
762	639669
762	702269
762	703534
762	864503
762	978044
762	1028181
762	1162163
762	1251441
762	1281618
762	1650915
762	2055046
762	2169973
762	2374149
762	2462658
762	2500638
762	3391743
762	3658608
762	4287745
762	4830453
762	4964182
762	5322166
762	10872101
762	11974939
762	13582652
762	15296811
762	16532929
762	16727193
762	20826540
762	24229398
762	25713832
762	80363469
765	28389
765	28640
765	33999
765	36180
765	36834
765	49757
765	192581
765	214917
765	242468
765	245068
765	327055
765	482980
765	483501
765	639669
765	644687
765	702269
765	713200
765	978044
765	1028181
765	1251441
765	1294787
765	1323191
765	1391344
765	2259451
765	2462658
765	2500638
765	2588761
765	2707485
765	3387717
765	3391743
765	3455803
765	5322166
765	6430706
765	6958747
765	10800557
765	15296811
765	15839299
765	15980158
765	22811707
765	24229398
765	25713832
765	27943370
765	66035178
767	28640
767	36180
767	37226
767	49757
767	192581
767	327055
767	333634
767	482980
767	483501
767	644687
767	702269
767	974144
767	1650915
767	1790480
767	2500638
767	3391743
767	4164507
767	4263842
767	6430706
767	6958747
767	10511368
767	14467526
767	15296811
767	15980158
767	16727193
767	17167049
767	20020377
767	20826540
767	24229398
767	30102337
814	33999
814	327055
814	483501
814	702269
814	713200
814	2500638
814	4610556
814	5716684
814	10800557
814	24229398
814	27943370
815	40348
815	82955
815	185351
815	193391
815	212238
815	327055
815	572700
815	702269
815	703534
815	978044
815	1162163
815	1251441
815	2462658
815	16532929
815	24229398
815	25713832
815	80363469
820	40348
820	82955
820	185351
820	193391
820	212238
820	327055
820	572700
820	702269
820	703534
820	978044
820	1162163
820	1251441
820	2462658
820	16532929
820	24229398
820	25713832
820	80363469
835	28389
835	28640
835	33999
835	36180
835	39631
835	43229
835	192581
835	214917
835	245068
835	327055
835	482980
835	483501
835	702269
835	713200
835	774306
835	864380
835	978044
835	1251441
835	1930187
835	2169973
835	2462658
835	2500638
835	3332438
835	3387717
835	3455803
835	4287745
835	4830453
835	6430706
835	6625963
835	6958747
835	8178443
835	11974939
835	15839299
835	15949613
835	15980158
835	15980804
835	18844224
835	24229398
835	25713832
835	28225718
838	327055
838	483501
838	644687
838	702269
838	1028181
838	3391743
838	15296811
838	17573152
838	24229398
839	2066131
839	16947675
839	24037210
839	24229398
839	50995749
845	40348
845	82955
845	185351
845	327055
845	702269
845	24229398
848	40348
848	82955
848	182436
848	185351
848	255274
848	327055
848	702269
848	1662485
848	24229398
849	36180
849	36834
849	49757
849	327055
849	482980
849	483501
849	639669
849	702269
849	753110
849	822146
849	2500638
849	24229398
853	28389
853	28640
853	33999
853	36180
853	192581
853	327055
853	482980
853	483501
853	702269
853	864380
853	978044
853	1251441
853	1414443
853	2462658
853	2500638
853	2526255
853	3387717
853	3455803
853	6958747
853	7042855
853	10800557
853	15839299
853	15980158
853	24229398
853	25713832
855	82955
855	327055
855	482980
855	483501
855	702269
855	2500638
855	3242115
855	11499147
855	15253558
855	24229398
857	40348
857	82955
857	185351
857	327055
857	702269
857	24229398
859	36180
