id	gender	birthyear	sitelinks
1528	6581097	-1217	46
1532	6581097		40
1541	6581097	-106	176
1544	6581097	1869	20
1545	6581072	1953	59
1585	6581097	1789	94
1589	6581097	1737	70
1604	6581097	1984	18
1615	6581097	1930	190
1618	6581097	1902	79
1625	6581097	1870	32
1628	6581097	1905	20
1631	6581072	1915	132
1634	6581097	1902	13
1638	6581097	1923	18
1639	6581097	1933	23
1646	6581072	1935	74
1651	6581097	1989	45
1652	2449503	1982	49
1654	6581097	1989	23
1655	6581097	1992	35
1656	6581097	1992	23
1657	6581097	1988	20
1659	6581097	1988	40
1660	6581097	1994	27
1662	6581097	1994	16
1665	6581097	1988	30
1666	6581097	1929	76
1668	6581097	1984	17
1669	6581097	1987	19
1671	6581097	1983	49
1672	6581097	1989	17
1674	6581097	1987	22
1677	6581097	1982	35
1679	6581097	1985	23
1681	6581097	1988	14
1683	6581097	1985	28
1685	6581097	1981	31
1687	6581097	1990	19
1690	6581097	1977	32
1691	6581097	1984	20
1698	6581097	1928	61
1699	6581097	1985	31
1702	6581097	1989	32
1704	6581097	1982	28
1705	6581097	1982	25
1708	6581097	1992	26
1712	6581097	1992	22
1716	6581097	1952	30
1717	6581097	1980	25
1728	6581097	1984	21
1732	6581097	1986	26
1736	6581097	1991	16
1738	6581097	1987	16
1739	6581097	1991	28
1742	6581097	1986	38
1743	6581097	1977	24
1744	6581072	1958	164
1745	6581097	1986	28
1747	6581097	1988	18
1750	6581097	1991	25
1751	6581097	1990	26
1752	6581097	164	71
1753	6581097	1976	21
1755	6581097	1981	32
1758	6581097	1990	28
1760	6581097	1977	28
1762	6581097	203	77
1766	6581097	1984	34
1768	6581072	1917	89
1769	6581097	208	74
1771	6581097	1985	28
1775	6581072	1922	8
1776	6581097	1979	34
1777	6581097	173	67
1778	6581097	1982	25
1779	6581097	1901	151
1782	6581097	159	63
1783	6581097	1979	35
1784	6581097	1974	34
1785	6581097	1924	93
1786	6581097	1428	5
1787	6581097	1993	28
1788	6581097	1467	2
1789	6581097	1988	35
1790	6581072	1960	45
1791	6581097	1469	6
1793	6581097	1984	27
1796	6581097	1987	18
1797	6581097		57
1798	6581097	1473	4
1802	6581097	1952	20
1803	6581097		60
1804	6581072	1930	30
1805	6581097	178	57
1812	6581097	225	61
1817	6581097	204	66
1830	6581097	201	65
1835	6581097	1972	130
1839	6581097	1965	55
1868	6581097	1868	28
1878	6581097	1967	9
1879	6581097	1969	20
1883	6581097	1971	27
1885	6581097	1993	24
1894	6581097	1994	55
1907	6581097	1986	71
1908	6581097	1985	53
1909	6581097	1985	54
1910	6581097	1986	51
1911	6581097	1986	78
1912	6581097	1987	94
1913	6581097	1980	58
1915	6581097	1985	52
1916	6581097	1981	67
1917	6581097	1982	52
1918	6581097	1983	83
1919	6581097	1984	51
1920	6581097	1987	63
1921	6581097	1987	57
1922	6581097	1979	42
1923	6581097	1987	48
1924	6581097	1985	55
1925	6581097	1990	32
1926	6581097	1981	41
1927	6581097	1988	28
1928	6581097	1987	48
1929	6581097	1985	52
1931	6581097	1981	39
1933	6581072	1981	39
1934	6581097	1979	43
1935	6581097	1979	63
1936	6581097	1981	52
1937	6581097	1977	57
1938	6581097	1983	65
1939	6581097	1979	67
1940	6581097	1985	49
1942	6581097	1980	41
1943	6581097	1986	50
1944	6581097	1983	49
1945	6581097	1978	30
1950	6581097	1966	34
1955	6581097	1951	22
1956	6581097	1972	44
1958	6581072	1964	32
1962	6581072	1962	22
1984	6581072	1963	20
1991	6581072	1966	24
1993	6581097	1974	54
2001	6581097	1928	131
2006	6581072	1970	25
2010	6581097	1975	45
2022	6581097	1908	68
2031	6581097	1963	25
2038	6581097	1916	114
2039	6581097	-59	118
2040	6581097	1906	52
2042	6581097	1890	187
2054	6581097	-4	144
2069	6581097	1911	70
2071	6581097	1946	85
2072	6581097	1989	35
2086	6581097	1918	52
2097	6581097	1971	36
2098	6581097	40	79
2104	6581097	1929	44
2105	6581097	1932	138
2116	6581097	1854	2
2124	6581097	1926	96
2125	6581097	1926	52
2129	6581097	1977	41
2147	6581097	1936	4
2153	6581097	1897	66
2161	6581097	54	126
2172	6581097	1971	99
2185	6581097	1911	129
2190	6581097	1944	44
2196	6581097	1939	12
2252	6581097	1930	102
2253	6581097	-235	68
2259	6581072	-39	32
2263	6581097	1956	118
2274	6581097	1929	51
2291	6581097	1898	42
2307	6581097	-185	43
2327	6581097	1989	7
2330	6581097	1977	10
2339	6581097	1983	88
2492	6581097	1876	126
2494	6581097	1927	189
2496	6581097	1897	80
2512	6581097	1904	67
2514	6581097	1913	109
2516	6581097	1918	97
2518	6581097	1930	115
2530	6581097	1944	108
2538	6581097	1940	90
2540	6581097	1959	88
2542	6581097	1943	88
2543	6581097	1969	23
2551	6581097	1931	71
2563	6581097	1934	68
2566	6581097	1769	18
2567	6581097	1920	76
2569	6581097	1914	56
2570	6581097	1956	16
2571	6581097	1919	63
2573	6581097	1899	62
2582	6581097	1894	56
2593	6581097	1971	32
2594	6581097	1884	63
2597	6581072	1987	20
2599	6581097	1942	134
2601	6581097	1928	28
2602	6581097	1937	52
2604	6581097	1876	108
2607	6581097	1912	83
2610	6581097	1914	38
2628	6581097	1893	73
2632	6581097	1940	102
2643	6581097	1943	111
2646	6581097	1871	72
2655	6581097	1786	43
2667	6581097	1847	91
2673	6581097	1940	92
2677	6581097	1859	110
2680	6581097	1955	110
2685	6581097	1947	138
2709	6581072	1988	60
2732	6581072	1956	11
2737	6581097	1914	82
2750	6581097	1917	47
2754	6581097	1883	84
2757	6581097	1949	110
2767	6581097	1736	20
2791	6581097	1829	68
2808	6581097	1947	100
2831	6581097	1958	275
2866	6581097	1954	124
2908	6581097	1900	151
2972	6581097	1764	21
2998	6581072	1903	46
3008	6581097	1953	52
3034	6581097	1802	6
